app_id,app_name,duration,status,spark.broadcast.blockSize,spark.broadcast.compress,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.io.compression.codec,spark.locality.wait,spark.memory.fraction,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.sql.autoBroadcastJoinThreshold,spark.sql.inMemoryColumnarStorage.batchSize,spark.sql.join.preferSortMergeJoin,spark.sql.shuffle.partitions,spark.storage.memoryMapThreshold
application_1688294179913_23843,1b#100#1689481620263_6#IMDB,7069,True,10,1,123,4,11648,6,6,7488,3136,0,4400,0.56,960,0.39,1,104,24,13824,16400,0,108,3
application_1688294179913_23844,14a#100#1689481620280_6#IMDB,9392,True,14,1,81,3,10240,5,5,11200,3008,1,1400,0.49,384,0.58,0,64,32,11264,15000,1,62,8
application_1688294179913_23845,16d#100#1689481620674_6#IMDB,14708,True,14,1,79,3,5696,4,7,7872,3776,1,3000,0.72,960,0.69,0,128,48,11008,5600,0,70,5
application_1688294179913_23846,6c#100#1689481620560_5#IMDB,9048,True,15,0,96,3,11776,7,6,5440,2560,1,3000,0.63,256,0.63,1,44,24,13312,13800,1,150,6
application_1688294179913_23847,7c#100#1689481620308_3#IMDB,38096,True,12,1,84,6,8512,7,3,11584,960,1,5800,0.67,3136,0.75,1,64,38,15616,12400,1,105,1
application_1688294179913_23848,1d#100#1689481620848_5#IMDB,6850,True,3,1,77,4,6208,5,6,5952,2176,1,4400,0.75,1600,0.56,1,96,60,15360,6800,0,86,3
application_1688294179913_23849,32b#100#1689481621004_0#IMDB,7160,True,3,0,102,4,5952,5,8,7424,3008,1,4800,0.47,1152,0.84,0,72,54,8704,16200,1,169,9
application_1688294179913_23850,33a#100#1689481620197_6#IMDB,12561,True,2,0,115,2,11776,6,5,4288,3264,1,5600,0.62,3008,0.45,0,116,28,8704,5800,0,106,5
application_1688294179913_23851,2a#100#1689481620244_1#IMDB,7293,True,12,1,85,5,5312,4,6,5120,2944,0,3000,0.4,2560,0.64,0,84,48,12288,11000,0,94,3
application_1688294179913_23852,33c#100#1689481620199_0#IMDB,13380,True,10,0,186,7,4416,8,5,11968,1984,0,1400,0.47,2496,0.8,1,128,22,9216,10800,1,113,8
application_1688294179913_23853,4c#100#1689481620496_1#IMDB,6399,True,15,0,80,3,9920,5,6,6656,640,0,5800,0.42,2368,0.76,0,144,32,8448,13200,0,69,7
application_1688294179913_23854,13c#100#1689481620866_6#IMDB,7821,True,10,1,83,2,8320,4,6,9920,1856,0,2400,0.77,2944,0.5,1,108,90,12544,9200,0,58,2
application_1688294179913_23855,19c#100#1689481620135_5#IMDB,12602,True,10,0,121,6,7104,7,5,10880,3776,1,3600,0.63,1728,0.71,0,48,36,14080,12200,0,153,9
application_1688294179913_23856,8c#100#1689481620514_0#IMDB,16436,True,5,0,74,7,10560,5,4,7808,2112,0,3800,0.5,2560,0.69,1,72,34,12544,13600,0,101,4
application_1688294179913_23857,30a#100#1689481620238_3#IMDB,12388,True,2,0,116,2,6848,6,5,9600,2944,0,5800,0.43,3776,0.42,0,136,56,13568,9000,0,84,6
application_1688294179913_23858,11d#100#1689481620361_4#IMDB,8877,True,8,1,56,2,7680,4,6,4800,2432,1,4600,0.47,3648,0.59,1,92,42,8448,12200,1,87,4
application_1688294179913_23859,12a#100#1689481620999_6#IMDB,7917,True,4,0,95,5,4352,8,4,10240,2816,1,1400,0.63,640,0.38,1,104,64,13568,15200,1,95,9
application_1688294179913_23860,28b#100#1689481620328_6#IMDB,8947,True,13,0,126,3,12224,6,7,6592,2752,0,4600,0.63,768,0.47,1,136,46,11008,13000,1,111,1
application_1688294179913_23861,23b#100#1689481620243_6#IMDB,7957,True,14,0,52,5,6464,3,7,6272,1216,1,5400,0.48,320,0.79,1,28,34,8704,8400,0,89,4
application_1688294179913_23862,3a#100#1689481620110_3#IMDB,7277,True,2,1,85,7,4992,5,7,5888,3712,1,5200,0.73,3776,0.62,1,80,68,14336,20000,0,163,2
